Caveat,CaveatCodes,CaveatFootnotes,DataSetCaveat,DataSetCaveatCodes,DataSetCaveatFootnotes,DataSetMetaTagCodes,DataSetMetaTags,DataSetMetaTagsWithType,DecimalPlaces,GroupNumber,UnitsArePrefix,LowerValue,MappedState,MeasureCategoryCode,MeasureCode,MeasureMetaTagCodes,MeasureMetaTags,MeasureMetaTagsWithType,MeasureName,PeerCaveat,PeerCaveatCodes,PeerCaveatFootnotes,PeerGroupName,PeerSuppression,PeerSuppressionCodes,PeerValue,ProxyChildren,ProxyReportingUnitName,ReportedMeasureCategoryCode,ReportedMeasureCategoryName,ReportedMeasureCategoryThreeCode,ReportedMeasureCategoryThreeName,ReportedMeasureCategoryTwoCode,ReportedMeasureCategoryTwoName,ReportedMeasureCategoryTypeCode,ReportedMeasureCategoryTypeName,ReportedMeasureCategoryThreeTypeCode,ReportedMeasureCategoryThreeTypeName,ReportedMeasureCategoryTwoTypeCode,ReportedMeasureCategoryTwoTypeName,ReportedMeasureCode,ReportedMeasureMetaTagCodes,ReportedMeasureMetaTags,ReportedMeasureMetaTagsWithType,ReportedMeasureName,ReportingEnd,ReportingStart,ReportingUnitCode,ReportingUnitMetaTagCodes,ReportingUnitMetaTags,ReportingUnitMetaTagsWithType,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,Suppression,SuppressionCodes,UnitsDisplay,UnitsName,UpperValue,Value
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S8_PlasticSurgery,Plastic surgery,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0070,,,,Plastic surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,35.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S9_Urology,Urology,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0071,,,,Urology,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,64.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,42.0000000000,,,ES_I004_Cystoscopy,Cystoscopy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0072,,,,Cystoscopy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,52.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,113.0000000000,,,ES_I020_Adenoidectomy,Adenoidectomy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0483,,,,Adenoidectomy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,252.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_I022_AnalFissure,Anal fissure - repair of,,,,,ES_IP,Intended procedure,,,,,MYH-RM0485,,,,Anal fissure - repair of,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,95.0000000000,,,ES_I023_ACL,Anterior cruciate ligament reconstruction,,,,,ES_IP,Intended procedure,,,,,MYH-RM0486,,,,Anterior cruciate ligament reconstruction,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,120.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,192.0000000000,,,ES_I024_Arthrodesis,Arthrodesis,,,,,ES_IP,Intended procedure,,,,,MYH-RM0487,,,,Arthrodesis,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_I025_Arthroplasty,Arthroplasty - revision of,,,,,ES_IP,Intended procedure,,,,,MYH-RM0488,,,,Arthroplasty - revision of,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,95.0000000000,,,ES_I026_Arthroscopy,Arthroscopy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0489,,,,Arthroscopy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,115.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,273.0000000000,,,ES_I042_CervicalDiscectomy,Cervical discectomy and fusion,,,,,ES_IP,Intended procedure,,,,,MYH-RM0504,,,,Cervical discectomy and fusion,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,299.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,43.0000000000,,,ES_I043_Chalazion,Chalazion - excision of,,,,,ES_IP,Intended procedure,,,,,MYH-RM0505,,,,Chalazion - excision of,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,80.0000000000,,,ES_I045_Circumcision,Circumcision,,,,,ES_IP,Intended procedure,,,,,MYH-RM0507,,,,Circumcision,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,64.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,74.0000000000,,,ES_I046_CleftLipPalate,Cleft lip and palate - repair of,,,,,ES_IP,Intended procedure,,,,,MYH-RM0508,,,,Cleft lip and palate - repair of,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,89.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,14.0000000000,,,ES_I047_Colectomy,Colectomy/anterior resection/large bowel resection,,,,,ES_IP,Intended procedure,,,,,MYH-RM0509,,,,Colectomy/anterior resection/large bowel resection,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_I050_CongenitalCardiacDefec,Congenital cardiac defect/s - procedure for,,,,,ES_IP,Intended procedure,,,,,MYH-RM0512,,,,Congenital cardiac defect/s - procedure for,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,34.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,52.0000000000,,,ES_I053_Cranioplasty,Cranioplasty,,,,,ES_IP,Intended procedure,,,,,MYH-RM0515,,,,Cranioplasty,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,62.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,20.0000000000,,,ES_I054_Craniotomy,Craniotomy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0516,,,,Craniotomy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,8.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,24.0000000000,,,ES_I056_Cystectomy,Cystectomy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0518,,,,Cystectomy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,73.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,392.0000000000,,,ES_I057_Dacryocystorhinostomy,Dacryocystorhinostomy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0519,,,,Dacryocystorhinostomy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,75.0000000000,,,ES_I058_DermoidCyst,Dermoid cyst - removal of,,,,,ES_IP,Intended procedure,,,,,MYH-RM0520,,,,Dermoid cyst - removal of,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,188.0000000000
